Id,Label,timeset,count,modularity_class
rewinside,rewinside,,61243,169
ELoTRiX,ELoTRiX,,139031,169
eliasn97,eliasn97,,154235,169
MckyTV,MckyTV,,149306,169
NICKMERCS,NICKMERCS,,644974,0
SidneyEweka,SidneyEweka,,49735,169
Ditrxx,Ditrxx,,28176,169
Amar,Amar,,162960,169
xQcOW,xQcOW,,932473,11
ROSHTEIN,ROSHTEIN,,157593,169
xTheSolutionTV,xTheSolutionTV,,59430,169
STYLERZ,STYLERZ,,7303,169
INSCOPE21TV,INSCOPE21TV,,65806,169
RevedTV,RevedTV,,75132,169
chefstrobel,chefstrobel,,21396,169
jccaylen,jccaylen,,31772,5
NotRyanAbe,NotRyanAbe,,5674,5
fuslie,fuslie,,121305,29
QuackityHQ,QuackityHQ,,430187,4
GeorgeNotFound,GeorgeNotFound,,428156,4
RanbooLive,RanbooLive,,605500,4
ludwig,ludwig,,364035,107
westonkoury,westonkoury,,65997,4
BadBoyHalo,BadBoyHalo,,199119,4
Sykkuno,Sykkuno,,399012,29
Tubbo,Tubbo,,589066,4
tommyinnit,tommyinnit,,660344,4
DavidDobrik,DavidDobrik,,33502,0
Sapnap,Sapnap,,278012,4
karljacobs,karljacobs,,473201,4
pokimane,pokimane,,417247,29
kianlawley,kianlawley,,14972,5
capturesca,capturesca,,5520,5
itscrawfordcollins,itscrawfordcollins,,5976,5
dreamwastaken,dreamwastaken,,403251,4
AdmiralBulldog,AdmiralBulldog,,63319,13
just_ns,just_ns,,49428,13
Maximilian_DOOD,Maximilian_DOOD,,131887,11
Elajjaz,Elajjaz,,50250,11
Sjow,Sjow,,17494,10
cdewx,cdewx,,39623,11
Natsumiii,Natsumiii,,99504,29
Steelmage,Steelmage,,34258,11
sodapoppin,sodapoppin,,366658,11
CohhCarnage,CohhCarnage,,231885,11
dasMEHDI,dasMEHDI,,88661,11
NymN,NymN,,53050,11
moistcr1tikal,moistcr1tikal,,253011,107
AnthonyZ,AnthonyZ,,62305,11
HusKerrs,HusKerrs,,222794,0
LCS,LCS,,435722,10
Quin69,Quin69,,144403,11
imls,imls,,115014,10
Arcadum,Arcadum,,37247,11
Distortion2,Distortion2,,17123,11
Nmplol,Nmplol,,133142,11
loltyler1,loltyler1,,504751,10
nerdstgamers,nerdstgamers,,125777,9
moonstudio_en,moonstudio_en,,8330,13
Whippy,Whippy,,33767,11
Gorgc,Gorgc,,106136,13
GunnarDotA2,GunnarDotA2,,8813,13
Myth,Myth,,154162,9
pokelawls,pokelawls,,199469,11
singsing,singsing,,47604,13
buster,buster,,274157,13
UberHaxorNova,UberHaxorNova,,46933,11
Ramee,Ramee,,56462,11
summit1g,summit1g,,446566,11
T90Official,T90Official,,32078,107
Rogue,Rogue,,188224,9
HealthyGamer_GG,HealthyGamer_GG,,68420,11
Pestily,Pestily,,125820,11
ShivFPS,ShivFPS,,219911,9
cyr,cyr,,54291,11
Scarra,Scarra,,129316,29
PENTA,PENTA,,44797,11
codemiko,codemiko,,154667,11
Jahrein,Jahrein,,147785,143
lilypichu,lilypichu,,149317,29
roflgator,roflgator,,87855,11
Ash_on_LoL,Ash_on_LoL,,273641,8
OGADotaPIT,OGADotaPIT,,22096,13
buddha,buddha,,282287,8
Maya,Maya,,187721,11
ESAMarathon,ESAMarathon,,43758,11
LIRIK,LIRIK,,229916,11
Kyle,Kyle,,51053,11
AriaSaki,AriaSaki,,55924,29
Saiiren,Saiiren,,38158,11
DreamLeague,DreamLeague,,195785,13
Doublelift,Doublelift,,184117,10
GMNaroditsky,GMNaroditsky,,40236,107
AvoidingThePuddle,AvoidingThePuddle,,23870,11
boxbox,boxbox,,301837,8
Stray228,Stray228,,139004,13
melharucos,melharucos,,54633,13
WARDELL,WARDELL,,122024,9
HasanAbi,HasanAbi,,280709,11
avoplus,avoplus,,16739,13
koil,koil,,61829,11
sinatraa,sinatraa,,118934,9
Trainwreckstv,Trainwreckstv,,136965,11
TimTheTatman,TimTheTatman,,483421,0
LCK,LCK,,306140,10
TSM_ImperialHal,TSM_ImperialHal,,247477,9
Thijs,Thijs,,70685,10
Enviosity,Enviosity,,72192,29
Indiefoxx,Indiefoxx,,74058,11
TEBtv,TEBtv,,50605,13
aceu,aceu,,201767,9
dunkstream,dunkstream,,49907,11
BotezLive,BotezLive,,153559,107
Rekkles,Rekkles,,204711,10
Greekgodx,Greekgodx,,171390,11
Vinesauce,Vinesauce,,50687,11
sips_,sips_,,54635,11
39daph,39daph,,108625,29
BeyondTheSummit,BeyondTheSummit,,72612,13
sneakylol,sneakylol,,99487,10
hJune,hJune,,247220,8
Symfuhny,Symfuhny,,337643,0
melina,melina,,40291,11
ybicanoooobov,ybicanoooobov,,61210,13
Destiny,Destiny,,32309,11
RduLIVE,RduLIVE,,52796,10
Jankos,Jankos,,139890,10
Kitboga,Kitboga,,87565,11
Sequisha,Sequisha,,162632,8
DrLupo,DrLupo,,158127,11
Mathil1,Mathil1,,48076,11
uhSnow,uhSnow,,37498,11
RATIRL,RATIRL,,113684,10
chessbrah,chessbrah,,33364,107
ESL_SC2,ESL_SC2,,70818,10
Hiko,Hiko,,243613,9
Zizaran,Zizaran,,33621,11
AdmiralBahroo,AdmiralBahroo,,81710,11
forsen,forsen,,205936,11
BananaSlamJamma,BananaSlamJamma,,19201,13
willneff,willneff,,37966,11
SovietWomble,SovietWomble,,43746,11
xChocoBars,xChocoBars,,82023,29
TFBlade,TFBlade,,140972,10
Hirona,Hirona,,24325,11
dafran,dafran,,98199,9
itsHafu,itsHafu,,152377,29
twlevewinsHS,twlevewinsHS,,24661,10
Amouranth,Amouranth,,71461,11
AsmodaiTV,AsmodaiTV,,27684,10
SilverName,SilverName,,111550,13
nl_Kripp,nl_Kripp,,103374,10
Fextralife,Fextralife,,148614,11
LEC,LEC,,511240,10
Chess,Chess,,395935,107
GMHikaru,GMHikaru,,359460,107
C_a_k_e,C_a_k_e,,50235,13
skippypoppin,skippypoppin,,20697,11
GothamChess,GothamChess,,106398,107
dogdog,dogdog,,70683,10
ESL_DOTA2,ESL_DOTA2,,89584,13
limit_maximum,limit_maximum,,52992,11
PUBG,PUBG,,103758,13
NiKo,NiKo,,104934,13
Daxak,Daxak,,56703,13
OkCode,OkCode,,27098,29
Anna_Chess,Anna_Chess,,62345,107
MiltonTPike1,MiltonTPike1,,54142,11
masondota2,masondota2,,53191,13
Yassuo,Yassuo,,178318,10
TheStockGuy,TheStockGuy,,120831,11
MOONMOON,MOONMOON,,155620,11
TheViper,TheViper,,27731,107
EsfandTV,EsfandTV,,183577,11
LVNDMARK,LVNDMARK,,192738,11
Jerma985,Jerma985,,67010,11
Ray__C,Ray__C,,292012,8
csgomc_ru,csgomc_ru,,377967,13
LPL,LPL,,89253,10
Mizkif,Mizkif,,238111,11
dota2mc_ru,dota2mc_ru,,285531,13
ESL_CSGOb,ESL_CSGOb,,133694,13
Warcraft,Warcraft,,39210,11
NASA,NASA,,96680,11
Blizzard,Blizzard,,172902,11
nooneboss,nooneboss,,20934,13
zackrawrr,zackrawrr,,20452,11
Dyannatv,Dyannatv,,270085,8
XBOCT,XBOCT,,48953,13
AustinShow,AustinShow,,148231,4
PWRDEsports1,PWRDEsports1,,11901,13
PGL_Dota2,PGL_Dota2,,60303,13
s1mple,s1mple,,131501,13
iceiceice,iceiceice,,4038,13
CoconutB,CoconutB,,193053,8
AresHD,AresHD,,8839,13
ESL_CSGOc,ESL_CSGOc,,42902,13
iltw1,iltw1,,17979,13
Jinnytty,Jinnytty,,46296,11
BLASTPremier,BLASTPremier,,346349,13
SerWinterOfficial,SerWinterOfficial,,258583,8
Hutnik,Hutnik,,244081,8
GTAWiseGuy,GTAWiseGuy,,28797,11
Posty,Posty,,205736,8
DreadzTV,DreadzTV,,23791,13
trausi,trausi,,201468,8
Burn,Burn,,26942,11
runner0608,runner0608,,23075,15
yumyumyu77,yumyumyu77,,36475,15
paka9999,paka9999,,72665,15
aba4647,aba4647,,77885,15
torona1,torona1,,16062,15
naseongkim,naseongkim,,13302,15
95pingman,95pingman,,21198,15
kangqui,kangqui,,8120,15
saddummy,saddummy,,92320,15
kimdduddi,kimdduddi,,17667,15
nokduro,nokduro,,52406,15
yapyap30,yapyap30,,46072,15
2chamcham2,2chamcham2,,56926,15
pacific8815,pacific8815,,49351,15
kimnamsoon,kimnamsoon,,13154,15
ajehr,ajehr,,21590,15
dopa24,dopa24,,89008,15
obm1025,obm1025,,24719,15
jdm2088,jdm2088,,57424,15
handongsuk,handongsuk,,106766,15
01bd02,01bd02,,35657,15
yd0821,yd0821,,51152,15
flurry1989,flurry1989,,36604,15
dda_ju,dda_ju,,23634,15
109ace,109ace,,25945,15
rooftopcat99,rooftopcat99,,42390,15
lol_woolf,lol_woolf,,80848,15
zilioner,zilioner,,67919,15
sonycast_,sonycast_,,26709,15
ddahyoni,ddahyoni,,36399,15
swab85,swab85,,33842,15
bbonge_,bbonge_,,23510,15
rkdthdus930,rkdthdus930,,12063,15
rhdgurwns,rhdgurwns,,10245,15
portialyn,portialyn,,29606,15
rkdwl12,rkdwl12,,18049,15
pjs9073,pjs9073,,41863,15
lol_cuvee,lol_cuvee,,15215,15
tmxk319,tmxk319,,115613,15
hanryang1125,hanryang1125,,112893,15
lol_ambition,lol_ambition,,48329,15
woowakgood,woowakgood,,53153,15
msmsms213,msmsms213,,15931,15
sal_gu,sal_gu,,45480,15
Faker,Faker,,144691,10
PUBGKorea,PUBGKorea,,47709,15
nanayango3o,nanayango3o,,24315,15
sn400ja,sn400ja,,16058,15
ok_ja,ok_ja,,4767,15
sooflower,sooflower,,17370,15
so_urf,so_urf,,7536,15
pikra10,pikra10,,16876,15
kimdoe,kimdoe,,45576,15
jungtaejune,jungtaejune,,27247,15
skswhdkgo1,skswhdkgo1,,24178,15
LCK_Korea,LCK_Korea,,307701,15
crazzyccat,crazzyccat,,3652,15
xkwhd,xkwhd,,21603,15
a60426042,a60426042,,11057,15
ch1ckenkun,ch1ckenkun,,4985,15
jinu6734,jinu6734,,24582,15
nanajam777,nanajam777,,7790,15
TwitchKR,TwitchKR,,16384,15
mlchoins,mlchoins,,8815,15
d_obby,d_obby,,5961,15
wkgml,wkgml,,26379,15
collet11,collet11,,9373,15
leechunhyang,leechunhyang,,5622,15
ses836,ses836,,3820,15
lovelyyeon,lovelyyeon,,4353,15
looksam,looksam,,6613,15
NimbleNeuron,NimbleNeuron,,16568,15
VooDooSh,VooDooSh,,44412,13
moonstudio_ru,moonstudio_ru,,9903,13
MuMiNo,MuMiNo,,11086,13
karavay46,karavay46,,53360,13
dota2mc_ru2,dota2mc_ru2,,18257,13
Dota2RuHub,Dota2RuHub,,14969,13
pokanoname,pokanoname,,35101,13
bRaTiShKiNoFf,bRaTiShKiNoFf,,64050,13
Lasqa,Lasqa,,30990,13
modestal,modestal,,51391,13
VERNI_SHAVERMY,VERNI_SHAVERMY,,35671,13
csgomc_ru2,csgomc_ru2,,108178,13
GN_GG,GN_GG,,14690,13
JesusAVGN,JesusAVGN,,48983,13
ekatze007,ekatze007,,32013,13
PCH3LK1N,PCH3LK1N,,49343,13
segall,segall,,13566,13
olyashaa,olyashaa,,6875,13
AhriNyan,AhriNyan,,34363,13
Dmitry_Lixxx,Dmitry_Lixxx,,59389,13
TEBtvDotaRU,TEBtvDotaRU,,9003,13
Recrent,Recrent,,97951,13
dinablin,dinablin,,59514,13
QUICKHUNTIK,QUICKHUNTIK,,22287,13
StRoGo,StRoGo,,39492,13
ramzes,ramzes,,6109,13
winstrike_tv,winstrike_tv,,172438,13
ALOHADANCETV,ALOHADANCETV,,6326,13
POKAMOLODOY,POKAMOLODOY,,11074,13
ZLOYn,ZLOYn,,17673,13
elwycco,elwycco,,19304,13
UncleBjorn,UncleBjorn,,6022,13
HoneyMad,HoneyMad,,32498,13
GENSYXA,GENSYXA,,29135,13
GodHunt,GodHunt,,18528,13
Sh4dowehhh,Sh4dowehhh,,4672,13
JustCooman,JustCooman,,11461,13
mokrivskyi,mokrivskyi,,23729,13
IWillDominate,IWillDominate,,42751,10
Im_Dontai,Im_Dontai,,60120,0
Surefour,Surefour,,16775,11
blusewilly_retry,blusewilly_retry,,37695,132
Sacriel,Sacriel,,32152,11
starsmitten,starsmitten,,41715,29
ironmouse,ironmouse,,36622,30
BaboAbe,BaboAbe,,46547,29
PaymoneyWubby,PaymoneyWubby,,61288,11
tarzaned,tarzaned,,51712,10
Grimmmz,Grimmmz,,20633,11
BurkeBlack,BurkeBlack,,22843,11
Tomato,Tomato,,18007,11
Syndicate,Syndicate,,62681,0
momochoco,momochoco,,7638,156
Warframe,Warframe,,105169,11
Loserfruit,Loserfruit,,54532,0
KristoferYee,KristoferYee,,40237,29
TheBigMeech,TheBigMeech,,15427,11
knekro,knekro,,128370,32
Smoke,Smoke,,31135,11
Swagg,Swagg,,292831,0
imjasmine,imjasmine,,14670,11
Nightblue3,Nightblue3,,63044,10
Grossie_Gore,Grossie_Gore,,57091,10
TeePee,TeePee,,65146,0
TeeGrizzley,TeeGrizzley,,108482,0
Silvervale,Silvervale,,11039,30
Pikabooirl,Pikabooirl,,45369,11
Ponce,Ponce,,141350,53
DaigoTheBeasTV,DaigoTheBeasTV,,37109,156
stylishnoob4,stylishnoob4,,141085,156
midbeast,midbeast,,67590,10
harbleu,harbleu,,28666,9
Gladd,Gladd,,36294,9
Calebhart42,Calebhart42,,15494,11
MuTeX,MuTeX,,133636,0
TinaKitten,TinaKitten,,86039,29
Northernlion,Northernlion,,44591,107
Aurateur,Aurateur,,15814,28
CapcomFighters,CapcomFighters,,35725,11
Otzdarva,Otzdarva,,68433,31
iateyourpie,iateyourpie,,7736,11
ANGRYPUG,ANGRYPUG,,32146,31
Sanchovies,Sanchovies,,40035,10
Loeya,Loeya,,57060,0
KingGeorge,KingGeorge,,127466,27
Hungrybox,Hungrybox,,17423,11
SypherPK,SypherPK,,162618,0
Beaulo,Beaulo,,147377,27
QuarterJade,QuarterJade,,84505,29
fps_shaka,fps_shaka,,162180,156
supertf,supertf,,51880,9
SmallAnt,SmallAnt,,69382,107
LuluLuvely,LuluLuvely,,127512,9
yourragegaming,yourragegaming,,73168,0
CriticalRole,CriticalRole,,86739,11
lestream,lestream,,128611,53
Timmac,Timmac,,22067,11
daltoosh,daltoosh,,50587,9
BarbarousKing,BarbarousKing,,25217,28
CDNThe3rd,CDNThe3rd,,47503,11
BruceDropEmOff,BruceDropEmOff,,33982,0
Tectone,Tectone,,57947,29
cloakzy,cloakzy,,148324,0
Shotz,Shotz,,37501,11
sleepy,sleepy,,55385,9
mistermv,mistermv,,90709,53
AdinRoss,AdinRoss,,249177,0
RatedEpicz,RatedEpicz,,53025,11
sakonoko_game,sakonoko_game,,5939,156
peterparkTV,peterparkTV,,91762,29
kkatamina,kkatamina,,76691,29
nyanners,nyanners,,30909,30
twitchgaming,twitchgaming,,24222,9
Masayoshi,Masayoshi,,52747,29
VALORANT,VALORANT,,71544,9
k3soju,k3soju,,75917,10
yvonnie,yvonnie,,39480,29
The_Happy_Hob,The_Happy_Hob,,24213,11
BobRoss,BobRoss,,39467,4
OhTofu,OhTofu,,20807,31
SmiteGame,SmiteGame,,53177,11
ChilledChaos,ChilledChaos,,34351,29
5uppp,5uppp,,127697,29
NiceWigg,NiceWigg,,53932,9
scump,scump,,88973,0
Rubius,Rubius,,787632,32
Momo,Momo,,19648,11
Sajam,Sajam,,8790,11
dizzy,dizzy,,44906,9
MacieJay,MacieJay,,73975,27
iiTzTimmy,iiTzTimmy,,43934,9
Aydan,Aydan,,234995,0
Diegosaurs,Diegosaurs,,29628,9
alexelcapo,alexelcapo,,86653,32
snuffy,snuffy,,13486,30
ibai,ibai,,882296,32
PlayOverwatch,PlayOverwatch,,13672,11
Crunchyroll,Crunchyroll,,21258,11
omitojohnny,omitojohnny,,3452,11
TrashTastePodcast,TrashTastePodcast,,32504,107
Rainbow6,Rainbow6,,114073,27
Dexbonus,Dexbonus,,16571,11
Xlice,Xlice,,15096,29
TwitchRivals,TwitchRivals,,41474,10
Pink_Sparkles,Pink_Sparkles,,29811,11
caps,caps,,68559,10
Voyboy,Voyboy,,25904,10
Ssaab,Ssaab,,17226,11
GamesDoneQuick,GamesDoneQuick,,33040,11
DansGaming,DansGaming,,6534,11
Markiplier,Markiplier,,62954,4
Day9tv,Day9tv,,7764,11
Criken,Criken,,6213,11
Kiwo,Kiwo,,14896,11
its_iron,its_iron,,120703,0
BikeMan,BikeMan,,7551,11
UnRooolie,UnRooolie,,3055,11
Flight23white,Flight23white,,116320,0
Nintendo,Nintendo,,46651,11
Vargskelethor,Vargskelethor,,9463,11
Pengwin,Pengwin,,13393,11
projektmelody,projektmelody,,8085,30
TeamSp00ky,TeamSp00ky,,7831,11
RDCgaming,RDCgaming,,16864,0
chigre,chigre,,30791,32
coscu,coscu,,116693,32
auronplay,auronplay,,727219,32
EASPORTSFIFA,EASPORTSFIFA,,114046,138
IlloJuan,IlloJuan,,143470,32
NAKOO_Fn,NAKOO_Fn,,45864,32
sujagg,sujagg,,107215,32
Llobeti4,Llobeti4,,123002,32
Peereira7,Peereira7,,117658,32
FolagorLives,FolagorLives,,115117,32
Vicens,Vicens,,105996,32
blanchitooo,blanchitooo,,98017,32
Mayichi,Mayichi,,157033,32
IamCristinini,IamCristinini,,115683,32
Alexby11,Alexby11,,136013,32
elxokas,elxokas,,137577,32
MiiKeLMsT,MiiKeLMsT,,12291,32
juansguarnizo,juansguarnizo,,384911,32
PapoMC,PapoMC,,134959,32
Kolderiu,Kolderiu,,10617,32
ReventXz,ReventXz,,72574,32
MarkiLokurasY,MarkiLokurasY,,90383,32
gllobet25,gllobet25,,77284,32
PapiGaviTV,PapiGaviTV,,28430,32
anders_vejrgang,anders_vejrgang,,62867,138
GUANYAR,GUANYAR,,21414,32
MiaPlaysss,MiaPlaysss,,27046,47
RwinShow,RwinShow,,6925,47
Nexe_,Nexe_,,24674,13
polsatgames,polsatgames,,41671,10
PAGO3,PAGO3,,62434,13
Mandzio,Mandzio,,96570,13
xth0rek,xth0rek,,48631,13
EWROON,EWROON,,80197,13
Jacob4TV,Jacob4TV,,50027,13
IzakOOO,IzakOOO,,26923,13
RybsonLoL_,RybsonLoL_,,28686,10
Japczan,Japczan,,50834,10
Popo,Popo,,30170,10
Diables,Diables,,40248,13
esl_csgo_pl,esl_csgo_pl,,53184,13
mrBlaszka,mrBlaszka,,4832,13
Mikolsikk,Mikolsikk,,6081,13
ZONY,ZONY,,23402,13
DMGPOLAND,DMGPOLAND,,8154,13
napierak_official,napierak_official,,5881,13
ElmiilloR,ElmiilloR,,82093,32
ElSpreen,ElSpreen,,63610,32
bysTaXx,bysTaXx,,39817,32
Tuli_acosta,Tuli_acosta,,31912,32
DylanteroLIVE,DylanteroLIVE,,29508,32
gamergirl,gamergirl,,32472,10
ChutyVks,ChutyVks,,28774,32
ColgadisimosDelAro,ColgadisimosDelAro,,8494,32
ESL_csgo_es,ESL_csgo_es,,9860,32
LLA,LLA,,28657,32
Mixwell,Mixwell,,51202,9
ScreaM,ScreaM,,65302,9
aroyitt,aroyitt,,80724,32
ricoy23,ricoy23,,57131,32
SmittyW,SmittyW,,6758,32
Perxitaa,Perxitaa,,88798,32
goncho,goncho,,71731,32
Brunenger,Brunenger,,64468,32
MYM_ALKAPONE,MYM_ALKAPONE,,65360,32
lol_nemesis,lol_nemesis,,39491,10
SLAKUN10,SLAKUN10,,28516,32
Reborn_Live,Reborn_Live,,50235,32
Staryuuki,Staryuuki,,67778,32
ernesBarbeQ,ernesBarbeQ,,32267,32
Thebausffs,Thebausffs,,40438,10
okyyy,okyyy,,53032,32
LVPes2,LVPes2,,16585,9
FarfadoxVEVO,FarfadoxVEVO,,33139,32
momoladinastia,momoladinastia,,37754,32
tvandeR,tvandeR,,42351,32
PUVLOO,PUVLOO,,45179,32
DuendePablo,DuendePablo,,54198,32
Pimpeano,Pimpeano,,87844,32
iLuTVLIVE,iLuTVLIVE,,8000,32
Rakyz,Rakyz,,7863,32
luckraok,luckraok,,29580,32
elded,elded,,170150,32
yointerneto,yointerneto,,19608,32
Frankkaster,Frankkaster,,12280,32
LVPes,LVPes,,99392,32
Chigua,Chigua,,22641,32
zEkO,zEkO,,36895,32
MenosTrece,MenosTrece,,59969,32
HITBOXKING,HITBOXKING,,14608,9
Agustabell212,Agustabell212,,22165,32
orslok,orslok,,70460,32
biyin_,biyin_,,76679,32
MarkitoNavaja,MarkitoNavaja,,76990,32
snoodyboo,snoodyboo,,13977,32
Bwipolol,Bwipolol,,35919,10
Caprimint,Caprimint,,27964,32
LAISLADELASTENTACIONES,LAISLADELASTENTACIONES,,6439,32
demisux,demisux,,14697,32
islatentaciones,islatentaciones,,7515,32
ElRichMC,ElRichMC,,10492,32
Welyn,Welyn,,148808,8
AkumaGirrl,AkumaGirrl,,10634,32
Werlyb,Werlyb,,89945,32
littleragergirl,littleragergirl,,3306,32
ElcanaldeJoaco,ElcanaldeJoaco,,76853,32
Th3Antonio,Th3Antonio,,31745,32
elBokeron,elBokeron,,3905,32
JaggerPrincesa,JaggerPrincesa,,93370,32
Serenexo,Serenexo,,23489,32
AgenteMaxo,AgenteMaxo,,36801,32
G4G_REVENANT,G4G_REVENANT,,15126,32
robergalati,robergalati,,20620,32
Silithur,Silithur,,16767,32
bchillz,bchillz,,247108,8
TommyPervan,TommyPervan,,7967,32
Esportmaniacos,Esportmaniacos,,5109,32
grafo,grafo,,10207,32
MissaSinfonia,MissaSinfonia,,100903,32
Zeling,Zeling,,5240,32
gravesen_1,gravesen_1,,15716,32
LaIslaDeLasTentaciones,LaIslaDeLasTentaciones,,16716,32
SoyFelipez360,SoyFelipez360,,3761,32
Lifestomper,Lifestomper,,161312,8
Mammoth,Mammoth,,201324,8
Mangel,Mangel,,26231,32
x6FlipiN,x6FlipiN,,47351,32
SkainLoL,SkainLoL,,4505,32
Wismichu,Wismichu,,23202,32
s1032204,s1032204,,6693,15
hejin0_0,hejin0_0,,7042,15
rudbeckia7,rudbeckia7,,8575,15
lck_challengers,lck_challengers,,12926,10
surrenderhs,surrenderhs,,4598,15
agueppo,agueppo,,10547,15
hatsalsal,hatsalsal,,3617,15
eaJParkOfficial,eaJParkOfficial,,26663,29
SteveSuptic,SteveSuptic,,65746,29
Sydeon,Sydeon,,13437,29
DuckyW,DuckyW,,22050,8
tuanzy,tuanzy,,40983,29
itsRyanHiga,itsRyanHiga,,24965,29
jacksepticeye,jacksepticeye,,52014,29
sah_yang,sah_yang,,10121,15
t1_teddy,t1_teddy,,7271,15
Gragolandia1,Gragolandia1,,16413,1
Mylonzete,Mylonzete,,25550,1
Surskity,Surskity,,17043,1
RatoBorrachudo,RatoBorrachudo,,19038,1
cidcidoso,cidcidoso,,15877,1
Felps,Felps,,22949,1
esAcarry,esAcarry,,35018,1
keiozin,keiozin,,13752,1
ziGueira,ziGueira,,26052,1
mount,mount,,7831,1
aXtLOL,aXtLOL,,9470,1
Hayashii,Hayashii,,20593,1
yayahuz,yayahuz,,19130,1
lucasteles2,lucasteles2,,16283,1
Lannik1,Lannik1,,22384,1
Gabi,Gabi,,9480,1
otplol_,otplol_,,173359,53
Academy,Academy,,19138,10
agurin,agurin,,37229,169
ThePowerOfEvil,ThePowerOfEvil,,9283,10
bobqinxd,bobqinxd,,6999,10
Kiyoon,Kiyoon,,20693,10
BudLight,BudLight,,14369,10
Captainflowers22,Captainflowers22,,6834,10
lol_selfmade,lol_selfmade,,7351,10
Caedrel,Caedrel,,7967,10
primeleague,primeleague,,30430,169
Vakin,Vakin,,3700,10
CoreJJ,CoreJJ,,8181,10
Gotaga,Gotaga,,261029,53
kinstaar,kinstaar,,49544,53
chesscomfr,chesscomfr,,28246,53
sweetdreams,sweetdreams,,42766,9
Kamet0,Kamet0,,174703,53
aminematue,aminematue,,24192,53
rhobalas_lol,rhobalas_lol,,24411,53
Terracid,Terracid,,20940,53
FairyPeak,FairyPeak,,6888,53
BruceGrannec,BruceGrannec,,7379,53
Etoiles,Etoiles,,80203,53
OgamingLoL,OgamingLoL,,4775,53
samueletienne,samueletienne,,71988,53
SolaryFortnite,SolaryFortnite,,62853,53
Jirayalecochon,Jirayalecochon,,27166,53
Teuf,Teuf,,28422,53
Pengu,Pengu,,75567,27
Mickalow,Mickalow,,6082,53
JLTomy,JLTomy,,83421,53
akaNemsko,akaNemsko,,28719,107
Domingo,Domingo,,197673,53
